No.,RQD,average disatance,P21,P20,segment angle,value（记得*2）,total segment,trace length miu,trace length sigma,lambda,trace length EX,groups,result,Result
1,0.887,16.51,0.0078069,0.00063231,108,11.6,626,4.8365,1.6237,0.0037805,470.9259415,2,2.666666667,3
2,0.561,9.73,0.012503,0.0010523,126,12.46,1003,4.7268,1.7371,0.0042391,510.5855503,2,3,3
3,0.778,10.39,0.0095741,0.00079066,108,12.19,767,4.5513,1.3962,0.0057393,251.1341403,2,2,2
4,0.528,7.38,0.016648,0.0015868,126,9.758,1533,4.3139,1.5006,0.0042492,230.3961411,3,4,4
5,0.282,5.43,0.013147,0.0011972,108,14,1190,4.0529,1.7164,0.0051714,251.1158735,2,3,3
6,0.245,7.13,0.014333,0.0011918,90,10.51,865,4.5719,1.414,0.0056066,262.8538042,2,2.333333333,2
7,0.684,5.7,0.013478,0.0011133,108,11.49,969,4.2398,1.5446,0.0058184,228.7648408,2,3.333333333,3
8,0.678,6.82,0.012729,0.0010906,126,9.184,1083,4.2324,1.6945,0.0039115,289.4738964,3,4,4
10,1,35.96,0.0096966,0.00081624,108,16.51,752,4.0139,1.5833,0.007314,193.8955176,2,2.666666667,3
11,0.477,9.25,0.0074135,0.00062134,108,16.91,617,5.6787,1.1111,0.0021055,542.3825721,2,3,3
12,0.774,9.79,0.017298,0.0014909,144,9.652,1482,4.3384,1.4391,0.0060641,215.7034192,3,5,5
14,0.917,14.87,0.0054583,0.00038128,36,19.84,379,4.3045,1.6078,0.005645,269.6191533,2,3.333333333,3
15,0.924,16.93,0.0053163,0.00030822,36,23.6,303,4.8364,0.87383,0.0060021,184.5996515,2,3.333333333,3
16,0.798,15.67,0.0070717,0.00045261,36,13.17,449,4.968,0.74739,0.0067583,190.0516555,3,3.666666667,4
17,0.984,23.26,0.0052927,0.00030382,36,17.38,302,4.8668,1.0229,0.0038454,219.1951009,2,3,3
19,0.983,11.38,0.0094992,0.00088977,180,9.783,880,3.471,1.3296,0.0078329,77.86044675,2,1,1
20,0.962,27.9,0.009451,0.00081268,180,8.961,774,3.6986,1.32,0.0089689,96.52480288,2,1,1
21,0.79,12.1,0.006055,0.00059654,90,8.051,590,3.2238,1.4562,0.011293,72.53427581,2,2,2
22,0.834,10.36,0.0045565,0.00045926,126,7.528,446,3.2657,1.5505,0.0057852,87.15822325,2,2,2
23,0.38,6.12,0.011767,0.0009302,72,22.42,856,4.4802,1.5944,0.004881,314.585431,3,4.333333333,4
24,0.74,11.96,0.0072588,0.00058686,72,15.74,581,4.2424,1.2521,0.0066011,152.3647329,3,4,4
25,0.578,8.59,0.010156,0.00093862,72,11.75,933,3.7639,1.7619,0.0045154,203.577304,3,4,4
27,0.552,6.64,0.014271,0.0011479,72,13.01,1141,3.6562,1.783,0.0041952,189.7570368,3,5,5
28,0.75,7.77,0.01784,0.0014889,108,10.77,1480,3.9514,1.8026,0.0038138,264.0354515,3,3.666666667,4
29,0.435,6.49,0.016949,0.0013652,126,10.56,1357,4.4653,1.6026,0.0039731,314.0221045,2,3,3
30,0.366,5.54,0.020781,0.0017696,90,9.127,1759,4.4261,1.6541,0.0079754,328.3642154,3,4.666666667,5
31,0.683,8.09,0.016406,0.0012946,126,8.86,1283,4.4848,1.45,0.0017417,253.6740056,3,4.666666667,5
32,0.885,9.29,0.012958,0.0010312,126,7.206,1025,4.6784,1.7832,0.003163,527.5803204,3,4,4
33,0.136,5.07,0.021562,0.0017344,54,8.43,1724,4.4649,1.542,0.0036226,285.3686919,3,5,5
34,0.167,4.35,0.021416,0.001825,54,16.71,1401,4.1755,1.977,0.003476,459.3279762,3,5,5
35,1,29.47,0.0047187,0.00043059,108,14.39,410,4.0095,1.8382,0.0040874,298.5655838,2,2.666666667,3
36,0.83,13.56,0.0094398,0.0007012,54,8.646,697,4.1984,1.6353,0.011913,253.5352952,3,4.333333333,4
37,0.706,11.09,0.0071341,0.00051963,108,8.058,516,4.7211,1.0967,0.0063763,204.8904498,3,5,5
38,0.924,15.55,0.0075964,0.00058686,108,7.649,536,4.7072,1.1464,0.006287,213.645154,3,4.666666667,5
